dam_id,dam_name,c,b,source,capacity_mcm,r_squared
id_070099,Al-Fid,2.2605128948836545e-07,2.0,srtm_direct,2.5,0.9944234154072374
id_070101,Harjab,0.0007397277944611024,1.692323924041587,srtm_direct,4.65,0.997621195966335
id_070105,Kutam,0.006004857103250072,1.5742725361264613,srtm_direct,0.5195,0.9970587682966048
id_070114,Khadar Al-Haymah,0.015517717025578064,1.3871684556079007,srtm_direct,1.128733,0.9991035114567609
id_070116,Al-Mahzamah,0.2486766635794506,1.193618111733132,srtm_direct,1.5,0.9986761166331241
id_070118,AL-Thafn,0.178474619718252,1.2171155411272332,srtm_direct,0.639068,0.9981560115628846
id_080002,Daqah,3.433396187822138e-05,1.9024125910469762,srtm_direct,1.4,0.9915393820662005
id_080003,Alib,0.003024569711579021,1.5166605835367184,srtm_direct,0.97206,0.9942422408207583
id_080005,Al-Ahsabah,0.00026378614061737084,1.7341804500476823,srtm_direct,11.0,0.9978995736790691
id_080007,Thurad,0.00201673919873952,1.5765184447641718,srtm_direct,14.136,0.9985402507512038
id_080009,Al-Janabin,3.2942111763011366e-05,1.896442126467298,srtm_direct,17.0,0.9982493024312036
id_080010,Al-Aqiq,2.1364944160583884e-05,1.8637673487410629,srtm_direct,19.126142,0.9892650136558203
id_080041,Ma'shuqah,0.00593251238893836,1.5224170192412358,srtm_direct,0.9057,0.9907002314990525
id_080044,Madhas,0.018364325351799674,1.4514553697262007,srtm_direct,1.5,0.997449539495886
id_080053,Shada Nira,0.0004011441604278624,1.7662674675511474,srtm_direct,0.884446,0.997034613850272
id_090018,Samirahh,0.068389514707505,1.2413035760327737,srtm_direct,0.787228,0.9995971825230215
id_090024,Al-Sab'an,0.0010677548371153017,1.6542902542926858,srtm_direct,0.630351,0.9906131454169581
id_090025,Saqf,0.023166410815374308,1.3828743480050905,srtm_direct,0.6,0.9990888601037167
id_090026,Watadah,0.012915673004261866,1.3743564774888948,srtm_direct,0.649943,0.996873004331028
id_090028,Dalihan,0.00030278221739474004,1.7301480143945935,srtm_direct,1.0,0.9806843672844977
id_090032,Al-Wasitah,0.18334976790555463,1.1893372293618631,srtm_direct,2.5,0.9998451198784624
id_090033,Al-Ha'it,0.21583167927186675,1.2372072492403494,srtm_direct,3.0,0.9986496133385031
id_090034,Al-Dabiyah,0.05815266031772502,1.2645127903095292,srtm_direct,1.191704,0.9991292232542031
