dam_id,dam_name,capacity_mcm,c,b,source
id_010115,Ari'ah Al-Sharqi 1,0.064,0.004059830616569658,1.5558517322403753,regi_multi
id_010116,Ari'ah Al-Sharqi 2,0.076,0.0026788104184270133,1.5558517322403753,regi_multi
id_020000,Marikh,3.65,0.03442167803361204,1.3620173274920382,srtm_derived
id_020001,Ghaya,7.13,0.010865194752413636,1.4477131310023827,srtm_derived
id_020002,Am Hablayn,4.97,3.738562620950433e-05,1.8314887613975066,srtm_derived
id_020003,Daghbaj,5.13,4.154474761359096e-05,1.846171613655536,srtm_derived
id_020004,Burayman,5.99,0.0017811147671661187,1.5248146895364458,srtm_derived
id_020005,Ghulail Al-Shamali,1.02,0.6108421928206512,1.1,srtm_derived
id_020015,Turabah,20.0,0.029912172307950863,1.3348330961433834,srtm_derived
id_020017,Al-Marwani,183.6,0.002224208200758674,1.5826105163864599,srtm_derived
id_020018,Rabigh,220.35,0.7014343027687081,1.1880693560734226,srtm_derived
id_020019,Hali,254.0,0.009151247363541252,1.4504129619558825,srtm_derived
id_020020,Al-Naqabiyah,10.0,0.008650155087451582,1.4763200418253082,srtm_derived
id_020021,Al-Lith,88.0,0.001203237882132294,1.5992083198331801,srtm_derived
id_020023,Qununa,79.2,0.002429589813390836,1.5500269961376938,srtm_derived
id_020024,Al-Manadhah,0.107,0.01394074797052085,1.5558517322403753,regi_multi
id_020025,Katnah,0.114652,0.01241911347861001,1.5558517322403753,regi_multi
id_020026,Atam,0.041,0.012533190059967593,1.5558517322403753,regi_multi
id_020027,Damah,0.083,0.00741382873657966,1.5558517322403753,regi_multi
id_020028,Ghurif Jidarah,0.04,0.014172815569052841,1.5558517322403753,regi_multi
id_020029,Dhari,0.171859,0.002711753736812954,1.562728967686377,srtm_derived
id_020030,Al-Raghiyah Riman,0.171585,0.0022063932175506707,1.5558517322403753,regi_multi
id_020031,Al-Shawahitah,0.21,0.010096918089418231,1.5558517322403753,regi_multi
id_020032,Nawafilah,0.222,0.011541930612546067,1.5558517322403753,regi_multi
id_020033,Al-Atah,0.21,0.012179266513654382,1.5558517322403753,regi_multi
id_020034,Al-Marifiq,0.25,0.16460911109522403,1.3078113607544133,srtm_derived
id_020035,Al-Ramah,0.302876,0.002598524959850469,1.6190967134669507,srtm_derived
id_020036,Al-Shu'irah,0.171,0.01420014326111685,1.5558517322403753,regi_multi
id_020037,Yasib,0.2,0.0006513843876365358,1.7738621388092404,srtm_derived
id_020038,Al-Bajidi,0.499636,0.39639656725850314,1.1675030348224473,srtm_derived
id_020039,Qurad,0.37,0.0005513330348899837,1.6347625353183821,srtm_derived
id_020040,Sa'b,0.5,0.11017805834442106,1.2602378614208356,srtm_derived
id_020041,Misan,0.092512,0.014430858926859589,1.5558517322403753,regi_multi
id_020042,Ikrimah,0.5,0.03853190451689162,1.4068074778115902,srtm_derived
id_020043,Dharah,0.50991,0.0038900634373504124,1.661370770407995,srtm_derived
id_020044,Al-Ayab,0.52711,0.00015393302001083964,2.0,srtm_derived
id_020045,Al-Sab'an,0.62,0.009247844561539218,1.6021061805510652,srtm_derived
id_020046,Thumalah,0.608,0.005473829101952493,1.5558517322403753,regi_multi
id_020047,Shawan,1.0,0.0004915249737771012,1.8447801738084886,srtm_derived
id_020048,Hajar,0.76255,0.00922244964260904,1.473497479808868,srtm_derived
id_020049,Bathan,0.7732,0.022899180699514417,1.4441470281876088,srtm_derived
id_020050,Malkan,0.8,0.019858166958066012,1.4400574331989262,srtm_derived
id_020051,Nu'man,1.0,0.0009652118142342238,1.7700854547474831,srtm_derived
id_020052,Al-Qu'ur,1.060425,0.0012891142543105156,1.6796334649020501,srtm_derived
id_020053,Awathal,0.213,0.0058043743148632875,1.5558517322403753,regi_multi
id_020054,Basal,1.5,0.00521713072578647,1.5558517322403753,regi_multi
id_020055,Lasab,0.21,0.025426970749106728,1.4825848236259667,srtm_derived
id_020056,Kara Al-Qawamah,1.51217,0.0005274111529558392,1.6901106243119333,srtm_derived
id_020057,Faydat Al-Musallah,3.0,0.001128153548476202,1.5558517322403753,regi_multi
id_020058,Wadi Fatimah,20.0,0.002120593891951328,1.5558517322403753,regi_multi
id_020059,Am Al-Doum,0.134745,0.0009835236444339995,1.6746541139702054,srtm_derived
