date,time,scene_cloud_cover_%,aoi_cloud_cover_%,water_area_km2
1999-04-22,07:20:07,21.0,21.0,0.0
1999-05-08,07:20:00,24.0,24.0,0.0
1999-05-24,07:19:38,0.0,0.0,0.0
1984-04-12,07:08:57,0.0,0.0,0.0
1984-05-30,07:09:47,0.0,0.0,0.0
1984-06-15,07:10:05,0.0,0.0,0.0
1984-07-17,07:10:33,0.0,0.0,0.0
1984-09-03,07:11:51,0.0,0.0,0.0
1984-11-22,07:11:40,1.0,1.0,0.0
1985-01-09,07:12:05,0.0,0.0,0.0
1985-03-30,07:12:10,0.0,0.0,0.0
1985-04-15,07:12:05,0.0,0.0,0.0
1985-11-09,07:10:24,5.0,5.0,0.0
1986-04-18,07:07:09,6.0,6.0,0.0
1986-06-21,07:05:21,0.0,0.0,0.0
1986-11-12,07:00:21,0.0,0.0,0.0
1987-01-15,07:01:30,0.0,0.0,0.0
1987-01-31,07:01:59,0.0,0.0,0.0
1987-03-04,07:03:14,0.0,0.0,0.0
1987-03-20,07:03:50,1.0,1.0,0.0
1987-04-05,07:04:24,0.0,0.0,0.0
1987-04-21,07:04:55,31.0,46.471205659080326,0.0
1987-05-07,07:05:23,0.0,0.0,0.0
1987-05-23,07:05:48,7.0,7.0,0.0
1987-06-08,07:06:12,0.0,0.0,0.0
1987-06-24,07:06:33,0.0,0.0,0.0
1987-08-11,07:07:43,0.0,0.0,0.0
1987-08-27,07:08:10,0.0,0.0,0.0
1987-09-12,07:08:34,0.0,0.0,0.0
1987-09-28,07:08:55,0.0,0.0,0.0
1987-10-14,07:09:14,26.0,26.0,0.0
1987-11-15,07:09:52,0.0,0.0,0.0
1988-01-02,07:10:37,61.0,100.0,0.0
1988-01-18,07:10:54,0.0,0.0,0.0
1988-04-07,07:11:52,21.0,21.0,0.0
1988-04-23,07:11:57,0.0,0.0,0.0
1988-05-09,07:12:07,0.0,0.0,0.0
1988-05-25,07:12:14,1.0,1.0,0.0
1988-07-12,07:12:29,0.0,0.0,0.0
1988-07-28,07:12:31,0.0,0.0,0.0
1988-08-13,07:12:30,0.0,0.0,0.0
1988-08-29,07:12:35,0.0,0.0,0.0
1988-09-14,07:12:32,0.0,0.0,0.0
1988-11-01,07:12:24,4.0,4.0,0.0
1988-11-17,07:12:22,0.0,0.0,0.0
1988-12-03,07:12:20,0.0,0.0,0.0
1988-12-19,07:12:07,41.0,100.0,0.0
1989-01-04,07:12:06,0.0,0.0,0.0
1989-02-05,07:11:49,0.0,0.0,0.0
1989-03-09,07:11:19,6.0,0.6943263826778133,0.0
1989-03-25,07:10:43,0.0,0.0,0.0
1989-04-10,07:10:56,66.0,100.0,0.0
1989-04-26,07:10:37,8.0,8.0,0.0
1989-05-28,07:10:08,23.0,100.0,0.0
1989-06-13,07:09:45,0.0,0.0,0.0
1989-07-15,07:09:10,0.0,0.0,0.0
1989-07-31,07:08:51,0.0,0.0,0.0
1989-08-16,07:08:27,0.0,0.0,0.0
1989-09-17,07:07:35,0.0,0.0,0.0
1989-10-03,07:07:27,0.0,0.0,0.0
1990-01-07,07:04:28,1.0,1.0,0.0
1990-02-08,07:03:30,0.0,0.0,0.0
1990-02-24,07:03:01,0.0,0.0,0.0
1990-03-12,07:02:26,57.0,57.0,0.0
1990-05-15,07:02:03,0.0,0.0,0.0
1990-05-31,07:01:58,0.0,0.0,0.00696
1990-06-16,07:01:56,0.0,0.0,0.0
1990-07-02,07:01:56,0.0,0.0,0.0
1990-08-19,07:01:44,0.0,0.0,0.0
1990-09-20,07:01:34,0.0,0.0,0.0
1990-10-06,07:01:21,0.0,0.0,0.0
1990-10-22,07:01:20,0.0,0.0,0.0
1990-11-07,07:01:16,0.0,0.0,0.0
1990-12-09,07:01:05,19.0,19.0,0.0
1990-12-25,07:01:26,11.0,3.3557055247978993,0.0
1991-01-10,07:01:52,1.0,1.0,0.0
1991-01-26,07:02:19,0.0,0.0,0.0
1991-02-11,07:02:30,2.0,2.0,0.0
1991-02-27,07:02:49,15.0,15.0,0.0
1991-03-31,07:03:24,0.0,0.0,0.0
1991-04-16,07:03:44,9.0,9.0,0.0
1991-06-03,07:04:32,0.0,0.0,0.0
1991-07-21,07:05:11,0.0,0.0,0.0
1991-08-22,07:05:22,0.0,0.0,0.0
1991-09-07,07:05:37,0.0,0.0,0.0
1991-10-09,07:05:50,6.0,6.0,0.0
1991-11-10,07:05:59,0.0,0.0,0.0
1991-11-26,07:06:05,0.0,0.0,0.0
1991-12-12,07:06:15,7.0,7.0,0.0
1991-12-28,07:06:07,0.0,0.0,0.0
1992-01-13,07:06:03,47.0,100.0,0.0
1992-01-29,07:06:07,36.0,36.0,0.0
1992-03-17,07:05:59,42.0,57.41238995616727,0.015716470588235297
1992-04-18,07:05:44,0.0,0.0,0.0
1992-05-20,07:05:25,59.0,43.00511751560261,0.0
1992-07-07,07:04:53,0.0,0.0,0.0
1992-07-23,07:04:41,0.0,0.0,0.0
1992-08-08,07:04:29,0.0,0.0,0.0
1992-08-24,07:04:12,0.0,0.0,0.0
1992-09-09,07:03:59,5.0,9.930986224347746,0.0
1992-10-11,07:03:18,23.0,23.0,0.0
1992-11-28,07:02:53,1.0,1.0,0.0
1992-12-14,07:03:05,31.0,23.580610110357984,0.0108
1992-12-30,07:03:13,49.0,48.76435528419828,0.0018
1993-01-31,07:03:36,83.0,100.0,0.0
1993-02-16,07:03:44,5.0,5.0,0.0
1993-04-05,07:04:02,19.0,0.0628293923289008,0.0
1993-05-23,07:04:17,11.0,78.8337632834887,0.0
1993-06-08,07:04:19,0.0,0.0,0.0
1993-06-24,07:04:15,0.0,0.0,0.0
1993-07-10,07:04:11,0.0,0.0,0.0
1993-07-26,07:04:11,0.0,0.0,0.0
1993-10-14,07:03:59,22.0,22.0,0.0
1993-10-30,07:03:53,14.0,14.0,0.0
1993-11-15,07:03:44,2.0,2.0,0.0
1993-12-01,07:03:41,3.0,3.0,0.0
1994-01-02,07:03:22,58.0,100.0,0.0
1994-01-18,07:03:06,0.0,0.0,0.0
1994-02-03,07:02:58,17.0,43.80736261922184,0.0288
1994-02-19,07:02:46,0.0,0.0,0.0
1994-03-07,07:02:31,0.0,0.0,0.0
1994-03-23,07:02:17,0.0,0.0,0.0
1994-04-08,07:01:59,10.0,10.0,0.0
1994-04-24,07:01:41,10.0,10.0,0.0
1994-05-10,07:01:23,0.0,0.0,0.0
1994-05-26,07:01:07,7.0,7.0,0.0
1994-06-11,07:00:48,0.0,0.0,0.0
1994-06-27,07:00:26,0.0,0.0,0.0
1994-07-13,07:00:00,0.0,0.0,0.0
1994-08-14,06:59:08,0.0,0.0,0.0
1994-08-30,06:58:44,0.0,0.0,0.0
1994-09-15,06:58:19,20.0,97.7700493518717,0.0
1994-10-01,06:57:53,12.0,12.0,0.0
1994-11-02,06:56:49,62.0,100.0,0.0
1994-11-18,06:56:16,0.0,0.0,0.0
1994-12-04,06:55:46,13.0,13.0,0.0
1994-12-20,06:55:16,21.0,21.0,0.0
1995-01-05,06:54:43,0.0,0.0,0.0
1995-01-21,06:54:08,4.0,4.0,0.0
1995-02-06,06:53:30,9.0,9.0,0.0
1995-02-22,06:52:52,0.0,0.0,0.0
1995-03-10,06:52:14,0.0,0.0,0.0
1995-03-26,06:51:33,54.0,100.0,0.0
1995-04-11,06:50:54,5.0,5.0,0.0
1995-04-27,06:50:12,0.0,0.0,0.0
1995-05-13,06:49:29,0.0,0.0,0.0
1995-05-29,06:48:45,8.0,1.0307716188547311,0.0
1995-06-14,06:48:01,0.0,0.0,0.0
1995-06-30,06:47:18,0.0,0.0,0.0
1995-07-16,06:46:34,0.0,0.0,0.0
1995-08-01,06:45:51,9.0,9.0,0.0
1995-08-17,06:45:07,0.0,0.0,0.0
1995-09-02,06:44:22,0.0,0.0,0.0
1995-09-18,06:43:35,0.0,0.0,0.015652941176470588
