dam_id,dam_name,latitude,longitude,old_csv_id,storage_capacity_m3,radius
id_090031,Al-Shaqiq,27.1525,40.948333,98_Al-Shaqiq,2000000,1497.550709
id_030016,Al-Aqiq Al-A'lah,23.924722,39.697222,106_Al-Aqiq_Al-A'la,2000000,1497.550709
id_080000,Mamana Al-Jawfi,19.822616,41.406465,110_Mimna_Al-Joufi,2000000,1497.550709
id_070096,Al-Qabah,19.504167,42.185,104_Al-Qubah,2000000,1497.550709
id_030015,Tasha,24.038056,38.898056,105_Tasha,2000000,1497.550709
id_090040,Al-Rawd Bin Hadi,26.189786,40.502343,99_Rawd_Bin_Hadi,2000000,1497.550709
id_010062,Al-Khanqah,24.049167,44.968611,112_Al-Khanqah,1932500,1473.276095
id_010036,Al-Hadar,21.921389,45.934167,113_Al-Hadar,1900000,1461.429848
id_100022,Al-Baqar,28.079444,36.510833,114_Al-Baqar,1800000,1424.298351
id_010061,Jalajil,25.651115,45.420007,115_Jalajil,1750000,1405.326935
id_100012,Shaghab,27.293333,36.4975,116_Shaghb,1743381,1402.794317
id_100025,Al-Mawilah (Al-Sir),27.676944,35.566389,117_Al-Mawilh_(Al-Sir),1593000,1343.835063
id_020056,Kara Al-Qawamah,20.733056,41.695278,118_Kara_Al-Qawamah,1512170,1310.934983
id_010052,Namar,24.5745,46.686333,129_Namar,1500000,1305.902335
id_010066,Harimilah,25.098889,46.080556,135_Harimala',1500000,1305.902335
id_040015,Al-Rummah,26.199722,44.021667,122_Al-Ramah,1500000,1305.902335
id_010069,Al-Hanabij,23.99162,43.332023,136_Al-Hanabij,1500000,1305.902335
id_070116,Al-Mahzamah,18.134705,43.106295,126_Al-Muhzamah,1500000,1305.902335
id_010093,Samnan,26.267931,44.881722,137_Samnan,1500000,1305.902335
id_090030,Al-Mustajidah,26.726472,41.500833,119_Al-Mustajaddah,1500000,1305.902335
id_010055,Al-Nasaq,23.995111,45.012222,131_Al-Nasaq,1500000,1305.902335
id_010054,Al-Shamam,24.005556,45.010278,130_Al-Shamam,1500000,1305.902335
id_010057,Al-Qawi'ah,24.040833,45.231333,133_Al-Quway'iyah,1500000,1305.902335
id_010056,Dharmah,24.679167,46.107778,132_Dharma',1500000,1305.902335
id_070091,Ashran,18.269167,42.438056,125_Ashran,1500000,1305.902335
id_070038,Ru'am,18.329722,42.0925,124_Rawam,1500000,1305.902335
id_010060,Lasad,23.626667,46.6325,134_Lasad,1500000,1305.902335
id_080044,Madhas,20.222217,41.274233,6_Madhas,1500000,1305.902335
id_020054,Basal,21.168411,40.703213,128_Basl,1500000,1305.902335
id_090038,Al-Rawdah,26.821667,41.6025,120_Al-Rawdah,1500000,1305.902335
id_070002,Al-Gharabah,18.790556,42.305556,123_Al-Gharaba,1500000,1305.902335
id_120012,Wasah,17.402222,42.831111,127_Wasa',1500000,1305.902335
id_100024,Na'am,28.132222,36.688889,121_Na'am,1500000,1305.902335
id_010053,Hanifah,24.657778,46.609167,139_Hanifah,1400000,1263.712275
id_070115,Tahallul,18.403611,42.4,138_Tahallul,1400000,1263.712275
id_080002,Daqah,19.894722,41.136667,141_Duqah,1400000,1263.712275
id_080001,Dawaqat Al-Abd Al-Hamid,19.963721,41.320849,140_Duqah_Al_'Abd_al-Hamid,1400000,1263.712275
id_030019,Al-Murabah,25.322222,38.350278,142_Al-Marba',1318125,1227.978037
id_010091,Al-Majma'ah,25.863889,45.282222,146_Al-Majma'ah,1300000,1219.911414
id_040016,Marid,26.815422,44.209038,145_Mard,1300000,1219.911414
id_110007,Hasidah Al-Gharbiyah,31.423056,37.247222,143_Hasidah_Al-Gharbiyah,1300000,1219.911414
id_110003,Al-Ma'arik,30.355833,39.677778,144_Al-Ma'arak,1300000,1219.911414
id_110006,Bair,31.161667,37.481944,147_Bair,1250000,1197.348089
id_030014,Talal,24.645833,41.961389,148_Tlal,1204388,1176.348695
id_010058,Hadijah,24.547867,43.248611,152_Hadijah,1200000,1174.306682
id_110002,Al-Ay'ali,30.592668,38.633672,150_Al-A'ili,1200000,1174.306682
id_110001,Zalawam,30.183611,40.256944,149_Zallum,1200000,1174.306682
