dam_id,dam_name,dam_name_arabic,latitude,longitude,region,governorate,watershed_basin,watershed_basin_2,dam_type,status,primary_purpose,current_purpose,dam_length_m,dam_height_m,spillway_height_m,storage_capacity_m3,construction_year
id_090029,Bazakhah,بزاخة,27.243333,41.406111,Hail,Hail,Wadi Arar Basin,,earthfill,completed,recharge,recharge,513.0,5.5,3.0,349411,2008
id_090031,Al-Shaqiq,الشقيق,27.1525,40.948333,Hail,Mawqaq,Wadi Arar Basin,,concrete,completed,recharge,recharge,310.0,6.5,4.0,2000000,2009
id_090032,Al-Wasitah,الوسيطاء,26.793333,41.733889,Hail,Hail,Wadi Arar Basin,,earthfill,completed,recharge,recharge,600.0,15.0,10.5,2500000,1989
id_090033,Al-Ha'it,الحائط,25.963333,40.471111,Hail,Al-Hait,Wadi Al-Rumah Basin,,earthfill,completed,recharge,recharge,150.0,12.0,9.5,3000000,2008
id_090034,Al-Dabiyah,الدابية,25.7525,40.572778,Hail,Al-Hait,Wadi Al-Rumah Basin,,earthfill,completed,recharge,recharge,195.0,9.0,6.0,1191704,2012
id_090035,Wasmiya,وسمى,27.508917,41.579722,Hail,Hail,Wadi Arar Basin,,earthfill,completed,recharge,recharge,180.0,6.0,4.5,100000,1983
id_090036,Al-Na'ih,النعى,27.1775,42.275278,Hail,Al-Shinan,Wadi Arar Basin,,concrete,completed,recharge,recharge,110.0,5.5,4.5,160000,1983
id_090037,Al-Adirah,الاديرع,27.366389,41.585,Hail,Hail,Wadi Arar Basin,,earthfill,completed,recharge,recharge,611.0,8.0,4.5,550870,2013
id_090038,Al-Rawdah,الروضه,26.821667,41.6025,Hail,Hail,Wadi Arar Basin,,concrete,completed,recharge,recharge,300.0,15.0,10.5,1500000,1989
id_090039,Al-Ghazalah,الغزالة,26.796638,41.352678,Hail,Al-Ghazalah,Wadi Arar Basin,,earthfill,completed,recharge,recharge,620.0,4.5,2.0,120000,2008
id_090040,Al-Rawd Bin Hadi,الروض بن هادي,26.189786,40.502343,Hail,Al-Hait,Wadi Al-Rumah Basin,,earthfill,completed,recharge,recharge,1477.0,5.5,3.0,2000000,2012
id_090041,Aqadh Al-Tad'imi,عقده التدعيمي,27.516111,41.58,Hail,Hail,Wadi Arar Basin,,concrete,completed,recharge,recharge,129.0,8.5,6.0,81232,2013
id_090042,Mashar,مشار,27.559736,41.60625,Hail,Hail,Wadi Arar Basin,,concrete,completed,recharge,recharge,356.0,7.0,4.5,116121,2013
id_090043,Aba Adi,اباعدي,27.570833,41.603333,Hail,Hail,Wadi Arar Basin,,concrete,completed,recharge,recharge,153.0,8.5,6.0,98449,2009
id_090044,Qarih,قارح,27.501667,41.598889,Hail,Hail,Wadi Arar Basin,,concrete,completed,recharge,recharge,172.0,17.0,14.5,216392,2013
