date,time,scene_cloud_cover_%,aoi_cloud_cover_%,water_area_km2
1996-01-15,06:51:39,4.0,0.12079433092925078,0.04101882352941176
1996-01-31,06:52:46,0.0,0.0,0.0045
1996-02-16,06:53:52,0.0,0.0,0.0036
1996-03-03,06:54:57,0.0,0.0,0.0009
1996-03-19,06:55:59,59.0,100.0,0.0
1996-04-04,06:57:00,0.0,0.0,0.07685294117647058
1996-04-20,06:57:59,1.0,1.0,0.08044588235294116
1996-05-06,06:58:56,0.0,0.0,0.06655058823529411
1996-06-07,07:00:44,0.0,0.0,0.02866941176470588
1996-06-23,07:01:36,0.0,0.0,0.015338823529411764
1996-07-09,07:02:26,0.0,0.0,0.0
1996-07-25,07:03:18,9.0,9.0,0.0
1996-08-10,07:04:08,0.0,0.0,0.0
1996-08-26,07:04:59,0.0,0.0,0.13120235294117655
1996-09-11,07:05:52,0.0,0.0,0.0027
1996-09-27,07:06:44,0.0,0.0,0.0
1996-10-13,07:07:34,0.0,0.0,0.0
1996-10-29,07:08:22,0.0,0.0,0.07371882352941177
1996-11-30,07:09:53,7.0,7.0,0.05833058823529412
1996-12-16,07:10:38,0.0,0.0,0.28990941176470586
1997-02-02,07:12:52,1.0,1.0,0.3324317647058824
1997-02-18,07:13:33,9.0,8.963175435076002,0.5293094117647059
1997-03-06,07:14:12,1.0,1.0,0.10279411764705883
1997-03-22,07:14:49,2.0,2.0,0.18733764705882353
1997-04-07,07:15:24,0.0,0.0,0.09823764705882355
1997-04-23,07:15:58,0.0,0.0,0.08294117647058824
1997-05-09,07:16:31,0.0,0.0,0.08031882352941175
1997-05-25,07:17:05,0.0,0.0,0.07426588235294115
1997-06-10,07:17:38,1.0,1.0,0.04799647058823529
1997-06-26,07:18:11,0.0,0.0,0.002675294117647059
1997-07-12,07:18:44,0.0,0.0,0.00774
1997-07-28,07:19:17,0.0,0.0,0.0018
1997-08-13,07:19:48,0.0,0.0,0.0081
1997-08-29,07:20:17,3.0,3.0,0.0
1997-09-14,07:20:44,0.0,0.0,0.0081
1997-09-30,07:21:12,33.0,83.94281352424349,0.0
1997-11-01,07:22:05,0.0,0.0,0.0
1997-11-17,07:22:26,33.0,6.928853319483301,1.7677835294117648
1997-12-03,07:22:51,12.0,12.0,1.1178105882352942
1998-01-04,07:23:36,77.0,99.52046224488592,0.005470588235294117
1998-01-20,07:23:57,0.0,0.0,0.5336294117647059
