dam_id,dam_name,owe_mm_year
id_070002,Al-Gharabah,2369.8
id_070003,Badwah,2393.8
id_070004,Abha,2367.1
id_070005,Al-Fawhah,2482.8
id_070006,Tandahah,2435.1
id_070007,Atud Al-Khamis,2367.1
id_070008,Tarjis,2404.2
id_070009,Marbah,2402.4
id_070010,Atud,2402.4
id_070011,Marbah Al-Jawfi,2402.4
id_070012,Tabalah,2482.8
id_070013,Shihanah,2389.9
id_070014,King Fahad,2569.0
id_070015,Al-Malik Fahd Al-Jawfi,2569.0
id_070016,Yabah,2456.3
id_070017,Shi'b Al-Harajah,2437.1
id_070022,Al-Sawdah,2348.9
id_070023,Khath'am,2426.6
id_070024,Marah,2408.7
id_070026,Zahrah Bani Bashar,2352.0
id_070027,Khidar,2402.0
id_070028,Al-'Amal (Zahir),2437.1
id_070030,Bani Qays,2393.8
id_070031,Al-Mashrab,2402.0
id_070032,Jash (Al-Riyadh),2620.0
id_070033,Al-Wuqirah,2437.1
id_070034,Tha'abah,2348.9
id_070037,Al-Batnah,2445.8
id_070038,Ru'am,2397.3
id_070039,Al-Ghilan,2350.7
id_070040,Rimah,2348.9
id_070041,Tulihah Al-Sharaf,2523.2
id_070042,Al-Hadilah,2350.7
id_070043,Wasanib,2348.9
id_070044,Radah,2397.3
id_070045,Bashut,2389.9
id_070046,Al-Faqa'is,2437.1
id_070048,Al-Khulsah,2369.8
id_070049,Al-Qabdah,2378.1
id_070050,Shari,2423.3
id_070051,Al-Harajah,2376.1
id_070052,Ghadar,2428.4
id_070053,Al-'Ayinah,2365.8
id_070054,Sadwan,2369.8
id_070056,Al-Maraghah,2350.7
id_070057,Al-Akhdar Al-Musfir,2416.0
id_070058,Hijrat Zahir,2523.2
id_070059,Al-Nahrah,2402.0
id_070060,Rawdan,2505.8
id_070061,Surum,2393.8
id_070062,Jawf Al-Ma'mar,2491.7
id_070063,Al-'Adiyah,2437.1
id_070064,Al-Hufah,2372.6
id_070065,Ar-Rashid,2523.2
id_070066,Al Thabit (Al-Khir),2376.1
id_070067,Al-Hajlah,2402.0
id_070068,Jabal Khat,2393.8
id_070069,Jariyah Al-Majardah,2423.3
id_070070,Afyadh Al-Talhah,2410.8
id_070071,Sharaqib,2376.1
id_070073,Hajla,2367.1
id_070074,Surum Al-Harajah,2376.1
id_070075,Sarabah,2393.8
id_070076,Bahwan,2372.6
id_070078,Anam,2402.0
id_070079,Al-Musayriq,2561.8
id_070080,Al-Ghurah,2396.4
id_070081,Maskah,2518.5
id_070082,Al-Madhah,2556.0
id_070084,Subh,2372.6
id_070085,Tamniyah,2350.7
id_070086,Al-Gha'il,2343.7
id_070088,Halba,2396.4
id_070089,Al-Mawin,2372.6
id_070090,Turayf,2396.4
id_070091,Ashran,2348.9
id_070092,Amiq Bal-Lahmar,2372.6
id_070093,Khurs,2369.8
id_070094,Athab,2532.4
id_070095,Al-Dahnah,2411.0
id_070096,Al-Qabah,2428.4
id_070097,Ghalabah,2393.8
id_070098,Dhahban,2410.7
id_070099,Al-Fid,2437.1
id_070100,Qurdan,2402.0
id_070101,Harjab,2581.8
id_070104,Abu Khuda'ah,2435.1
id_070105,Kutam,2378.1
id_070106,Al-'Ayzah,2402.0
id_070107,Al-Farwan,2410.8
id_070108,Wadi Daf,2402.0
id_070109,Thama,2428.4
id_070110,Al-Jawah,2376.1
id_070111,Awis,2396.4
id_070112,Yafif,2426.6
id_070113,Nabah,2389.9
id_070114,Khadar Al-Haymah,2416.0
id_070115,Tahallul,2348.9
id_070116,Al-Mahzamah,2402.0
id_070117,Aqdah,2435.1
id_070118,AL-Thafn,2596.4
id_070121,Wasat Marama,2539.5
id_080001,Dawaqat Al-Abd Al-Hamid,2399.4
id_080002,Daqah,2481.3
id_080003,Alib,2454.9
id_080004,Alib Al-Jawfi,2454.9
id_080005,Al-Ahsabah,2460.6
id_080006,Al-Ahsabah Al-Jawfi,2460.6
id_080007,Thurad,2466.2
id_080008,Thurad Al-Jawfi,2466.2
id_080009,Al-Janabin,2370.1
id_080010,Al-Aqiq,2459.1
id_080011,Ardah Al-Jawfi,2462.8
id_080012,Ardah,2462.8
id_080014,Daqah Al-Jawfi,2481.3
id_080022,Al-Hijah,2370.1
id_080024,Al-Malad,2410.1
id_080025,Shahbah,2410.1
id_080026,Al-Aja'idah,2370.1
id_080027,Dhark,2384.2
id_080029,Al-Marbah,2370.1
id_080030,Al-Kharar,2384.2
id_080031,Al-Lahijah,2370.1
id_080032,Al-Khalah,2370.1
id_080033,Al-Talqiyah,2370.1
id_080034,Al-Jahafin,2370.1
id_080035,Al-Haliyah,2370.1
id_080036,Subihah,2433.3
id_080037,Al-Dhahin,2384.2
id_080038,Al-Muzlimat,2384.2
id_080039,Al-Sadr,2384.2
id_080040,Al-Mashiraf,2459.1
id_080041,Ma'shuqah,2433.3
id_080042,Al-Marazawaq,2370.1
id_080043,Jarab,2495.5
id_080044,Madhas,2384.2
id_080045,Bidah,2384.2
id_080048,Al-Milh,2370.1
id_080050,Athal,2413.9
id_080051,Al-Hadim,2433.3
id_090000,Al-Juwi'diyah,2450.7
id_090001,Aqadah,2413.6
id_090002,Al-Sahwah,2443.2
id_090003,Al-Sada'iyah,2426.5
id_090004,Al-Ratiq,2432.4
id_090005,Taba,2437.0
id_090006,Tawarin,2423.7
id_090007,Al-Jahifah,2425.8
id_090008,Al-Mudih,2437.0
id_090009,Fayd,2421.1
id_090010,Aqalat Bin Jabrin,2432.4
id_090011,Al-Salaf,2413.6
id_090012,Al-Raqab,2490.8
id_090013,Saqiyat Fayd,2418.5
id_090014,Al-Azim,2471.1
id_090015,Nuqbayn,2412.7
id_090016,Al-Sir,2429.8
id_090017,Ghamrah,2451.8
id_090018,Samirahh,2456.1
id_090019,Al-Radafin,2432.4
id_090020,Al-Hawidah,2432.4
id_090021,Al-Shinan,2418.5
id_090022,Al-Bar,2413.6
id_090023,Al-Halifah,2487.5
id_090024,Al-Sab'an,2431.1
id_090025,Saqf,2442.3
id_090026,Watadah,2501.0
id_090027,Al-Salimah,2476.0
id_090028,Dalihan,2443.2
id_090029,Bazakhah,2432.4
id_090030,Al-Mustajidah,2450.7
id_090031,Al-Shaqiq,2448.9
id_090032,Al-Wasitah,2448.5
id_090033,Al-Ha'it,2484.2
id_090034,Al-Dabiyah,2488.7
id_090035,Wasmiya,2413.6
id_090036,Al-Na'ih,2418.5
id_090037,Al-Adirah,2413.6
id_090038,Al-Rawdah,2426.5
id_090039,Al-Ghazalah,2455.8
id_090040,Al-Rawd Bin Hadi,2474.8
id_090042,Mashar,2413.6
id_090044,Qarih,2413.6
id_090045,Al-Sir Al-Tad'imi,2413.6
id_100000,Al-Kharar,2508.0
id_100001,Rahib,2409.9
id_100002,Abu Al-Qazaz,2512.5
id_100003,Al-Zarib,2453.6
id_100004,Shawaq,2468.3
id_100005,Aynawanah,2496.8
id_100006,Damah,2468.3
id_100007,Sharamah,2442.8
id_100008,Samin,2508.9
id_100009,Al-Nabi',2504.6
id_100010,Al-Kar,2500.4
id_100011,'Afal,2323.1
id_100012,Shaghab,2504.5
id_100013,Al-Balitih,2448.7
id_100014,Al-Fari'ah,2409.6
id_100015,Wadi Al-Najad,2468.6
id_100016,Tala' Al-Shamali,2426.2
id_100017,Salim Al-Awasat,2426.2
id_100018,Dahkan,2470.1
id_100019,Damh,2387.3
id_100020,Dab'an,2426.2
id_100021,Tila' Al-Janawabi,2426.2
id_100022,Al-Baqar,2426.2
id_100023,Tarim,2474.5
id_100024,Na'am,2433.0
id_100025,Al-Mawilah (Al-Sir),2445.4
id_110000,Al-Ma'tadal (Al-Tamariyah),2326.9
id_110001,Zalawam,2346.4
id_110002,Al-Ay'ali,2330.5
id_110004,Al-Shawihitiyah,2346.7
id_110005,Al-Nakhalah,2265.5
id_110006,Bair,2271.0
id_110007,Hasidah Al-Gharbiyah,2256.9
id_110008,Sarmadah,2278.8
id_110009,Hasidah Al-Sharqiyah,2265.5
id_110010,Al-Marir,2350.6
id_120000,Baish,2414.5
id_120001,Baish Al-Jawfi,2414.5
id_120002,Jazan,2415.0
id_120003,Damad,2356.5
id_120004,Damad Al-Jawfi,2415.0
id_120005,Qasi,2396.7
id_120008,Al-Madirah,2337.2
id_120010,Al-Raith,2386.3
id_120011,Qurah,2386.3
id_120012,Wasah,2396.7
id_120013,Wa'al,2386.3
id_120015,Am Khabarah,2410.2
id_130000,Najran,2517.3
id_130001,Najran Al-Jawfi,2535.8
id_130003,Yasan,2511.3
id_130004,Al-Salamah,2511.3
id_130005,Al-Bayadh,2537.9
id_130006,Al-Maghawi,2537.9
id_130007,Makish,2600.6
id_130008,Khadiran,2511.3
id_130009,Al-Mahjar,2410.8
id_130010,Al-Yatim,2511.3
id_130011,Makhdab,2582.9
id_130012,Thar,2537.6
id_130013,Humayran,2511.3
id_130014,Al-Ashah,2410.8
id_130015,Qatan,2537.6
id_130016,(Surum) Halal,2454.7
id_130017,Al-Khadarah,2410.8
id_130018,Na'wan,2600.6
id_130019,Al-Safah,2537.9
id_130020,Tarimah,2539.6
id_130021,Al-Malihah,2458.8
id_130022,Akadhaba,2596.3
id_130023,Al-Athibah,2535.8
id_130024,Hadadah,2378.1
id_130025,Al-Haj,2535.8
id_130026,Al-Sharam,2410.8
id_130027,Qurdah,2537.6
id_130028,Matarah Al-Qaran,2410.8
